Novillo 500Kg.1kg/día,16.5,15.4,27.5,1.46,2.62,80,70,0.828,7.43
Novillo 400kg.1kg/día,14.4,12.6,24.8,1.24,2,80,70,0.643,6.48
Novillo 300kg.1kg/día,11.2,9.8,21.6,1.08,1.67,80,50,0.458,5.04
Vaca 600kg. 35 litros,24,22.5,61,3.45,3.5,140,90,2.474,10.08
Vaca 600kg. 25 litros,20.5,19,50,2.8,3.12,120,80,2.025,8.61
Vaca 600kg. 20 litros,20.5,19,45,2.45,3.12,100,70,2.0225,8.61
Vaca 600kg. 15 litros,17.5,16.2,37.2,2,2.6,80,60,1.6355,7.35
